iter	Passed	Remaining
0	0	37
1	0	32
2	0	30
3	1	29
4	1	28
5	1	28
6	2	29
7	2	32
8	3	34
9	3	33
10	4	33
11	4	34
12	5	34
13	5	33
14	5	33
15	6	33
16	6	32
17	6	31
18	7	31
19	7	31
20	8	31
21	8	30
22	8	29
23	9	29
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	27
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	18
52	19	17
53	20	17
54	20	16
55	20	16
56	21	16
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	25	12
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	36	0
99	36	0
