iter	Passed	Remaining
0	56	55955
1	56	28207
2	56	18920
3	57	14258
4	57	11463
5	57	9603
6	58	8271
7	58	7273
8	59	6497
9	59	5874
10	59	5364
11	60	4942
12	60	4582
13	60	4275
14	61	4009
15	61	3774
16	61	3567
17	62	3383
18	62	3219
19	62	3071
20	63	2938
21	63	2816
22	63	2705
23	64	2604
24	64	2519
25	65	2435
26	65	2359
27	65	2286
28	66	2218
29	66	2153
30	66	2092
31	67	2035
32	67	1982
33	67	1931
34	68	1883
35	68	1838
36	69	1796
37	69	1758
38	69	1722
39	70	1686
40	70	1651
41	70	1618
42	71	1587
43	71	1556
44	71	1527
45	72	1500
46	72	1473
47	72	1447
48	73	1423
49	73	1400
50	74	1377
51	74	1355
52	74	1334
53	75	1317
54	75	1297
55	75	1278
56	76	1259
57	76	1242
58	76	1225
59	77	1208
60	77	1192
61	77	1177
62	78	1162
63	78	1148
64	78	1133
65	79	1120
66	79	1107
67	79	1095
68	80	1082
69	80	1070
70	80	1058
71	81	1046
72	81	1035
73	81	1025
74	82	1017
75	82	1007
76	83	997
77	83	988
78	84	979
79	84	971
80	84	961
81	85	952
82	85	942
83	85	933
84	85	925
85	86	916
86	86	908
87	86	900
88	87	892
89	87	885
90	87	878
91	88	872
92	88	865
93	89	858
94	89	851
95	89	845
96	90	839
97	90	833
98	90	826
99	91	820
100	91	814
101	91	808
102	92	802
103	92	797
104	92	791
105	93	785
106	93	780
107	93	774
108	94	769
109	94	764
110	94	758
111	95	754
112	95	749
113	95	744
114	96	739
115	96	735
116	96	729
117	97	725
118	97	720
119	97	716
120	98	712
121	98	707
122	98	703
123	98	699
124	99	694
125	99	691
126	99	687
127	100	683
128	100	681
129	101	677
130	101	674
131	102	671
132	102	667
133	102	663
134	103	660
135	103	657
136	103	653
137	104	650
138	104	647
139	104	643
140	105	640
141	105	636
142	105	633
143	106	630
144	106	627
145	106	624
146	107	621
147	107	619
148	107	616
149	108	613
150	108	611
151	109	608
152	109	606
153	109	603
154	110	600
155	110	598
156	110	595
157	111	593
158	111	591
159	112	589
160	112	586
161	112	584
162	113	581
163	113	580
164	114	577
165	114	575
166	115	574
167	115	572
168	115	570
169	116	568
170	116	566
171	117	564
172	117	562
173	118	560
174	118	557
175	118	555
176	119	553
177	119	551
178	119	550
179	120	548
180	121	547
181	121	546
182	121	544
183	122	542
184	122	540
185	123	538
186	123	536
187	123	535
188	124	533
189	124	531
190	124	529
191	125	527
192	125	525
193	126	523
194	126	522
195	126	520
